2019-04-09 12:57:45 DEBUG Tracer:106 - sampler.classes = ; loaded no samplers
2019-04-09 12:57:45 DEBUG Tracer:128 - span.receiver.classes = ; loaded no span receivers
2019-04-09 14:47:04 DEBUG Tracer:106 - sampler.classes = ; loaded no samplers
2019-04-09 14:47:05 DEBUG Tracer:128 - span.receiver.classes = ; loaded no span receivers
2019-04-09 15:28:03 DEBUG Tracer:106 - sampler.classes = ; loaded no samplers
2019-04-09 15:28:03 DEBUG Tracer:128 - span.receiver.classes = ; loaded no span receivers
2019-04-09 16:05:14 DEBUG Tracer:106 - sampler.classes = ; loaded no samplers
2019-04-09 16:05:15 DEBUG Tracer:128 - span.receiver.classes = ; loaded no span receivers
2019-04-09 16:18:37 DEBUG Tracer:106 - sampler.classes = ; loaded no samplers
2019-04-09 16:18:38 DEBUG Tracer:128 - span.receiver.classes = ; loaded no span receivers
2019-04-09 16:21:03 DEBUG Tracer:106 - sampler.classes = ; loaded no samplers
2019-04-09 16:21:03 DEBUG Tracer:128 - span.receiver.classes = ; loaded no span receivers
2019-04-09 16:24:55 DEBUG Tracer:106 - sampler.classes = ; loaded no samplers
2019-04-09 16:24:55 DEBUG Tracer:128 - span.receiver.classes = ; loaded no span receivers
2019-04-09 16:33:01 DEBUG Tracer:106 - sampler.classes = ; loaded no samplers
2019-04-09 16:33:02 DEBUG Tracer:128 - span.receiver.classes = ; loaded no span receivers
2019-04-09 16:40:51 DEBUG Tracer:106 - sampler.classes = ; loaded no samplers
2019-04-09 16:40:51 DEBUG Tracer:128 - span.receiver.classes = ; loaded no span receivers
2019-04-10 08:50:45 DEBUG Tracer:106 - sampler.classes = ; loaded no samplers
2019-04-10 08:50:46 DEBUG Tracer:128 - span.receiver.classes = ; loaded no span receivers
2019-04-10 09:06:49 DEBUG Tracer:106 - sampler.classes = ; loaded no samplers
2019-04-10 09:06:50 DEBUG Tracer:128 - span.receiver.classes = ; loaded no span receivers
2019-04-10 09:19:49 DEBUG Tracer:106 - sampler.classes = ; loaded no samplers
2019-04-10 09:19:49 DEBUG Tracer:128 - span.receiver.classes = ; loaded no span receivers
2019-04-10 09:22:44 DEBUG Tracer:106 - sampler.classes = ; loaded no samplers
2019-04-10 09:22:45 DEBUG Tracer:128 - span.receiver.classes = ; loaded no span receivers
2019-04-10 09:26:44 DEBUG Tracer:106 - sampler.classes = ; loaded no samplers
2019-04-10 09:26:44 DEBUG Tracer:128 - span.receiver.classes = ; loaded no span receivers
2019-04-10 09:52:35 DEBUG Tracer:106 - sampler.classes = ; loaded no samplers
2019-04-10 09:52:35 DEBUG Tracer:128 - span.receiver.classes = ; loaded no span receivers
2019-04-10 09:55:12 DEBUG Tracer:106 - sampler.classes = ; loaded no samplers
2019-04-10 09:55:12 DEBUG Tracer:128 - span.receiver.classes = ; loaded no span receivers
2019-04-10 09:57:02 DEBUG Tracer:106 - sampler.classes = ; loaded no samplers
2019-04-10 09:57:02 DEBUG Tracer:128 - span.receiver.classes = ; loaded no span receivers
2019-04-10 10:20:37 DEBUG Tracer:106 - sampler.classes = ; loaded no samplers
2019-04-10 10:20:37 DEBUG Tracer:128 - span.receiver.classes = ; loaded no span receivers
2019-04-12 09:58:32 DEBUG Tracer:106 - sampler.classes = ; loaded no samplers
2019-04-12 09:58:33 DEBUG Tracer:128 - span.receiver.classes = ; loaded no span receivers
2019-04-12 10:07:19 DEBUG Tracer:106 - sampler.classes = ; loaded no samplers
2019-04-12 10:07:19 DEBUG Tracer:128 - span.receiver.classes = ; loaded no span receivers
2019-04-12 10:34:08 DEBUG Tracer:106 - sampler.classes = ; loaded no samplers
2019-04-12 10:34:08 DEBUG Tracer:128 - span.receiver.classes = ; loaded no span receivers
2019-04-12 10:36:47 DEBUG Tracer:106 - sampler.classes = ; loaded no samplers
2019-04-12 10:36:48 DEBUG Tracer:128 - span.receiver.classes = ; loaded no span receivers
2019-04-12 10:39:49 DEBUG Tracer:106 - sampler.classes = ; loaded no samplers
2019-04-12 10:39:50 DEBUG Tracer:128 - span.receiver.classes = ; loaded no span receivers
2019-04-12 10:41:18 DEBUG Tracer:106 - sampler.classes = ; loaded no samplers
2019-04-12 10:41:18 DEBUG Tracer:128 - span.receiver.classes = ; loaded no span receivers
2019-04-12 10:44:11 DEBUG Tracer:106 - sampler.classes = ; loaded no samplers
2019-04-12 10:44:11 DEBUG Tracer:128 - span.receiver.classes = ; loaded no span receivers
2019-04-12 10:47:05 DEBUG Tracer:106 - sampler.classes = ; loaded no samplers
2019-04-12 10:47:05 DEBUG Tracer:128 - span.receiver.classes = ; loaded no span receivers
2019-04-12 10:49:32 DEBUG Tracer:106 - sampler.classes = ; loaded no samplers
2019-04-12 10:49:33 DEBUG Tracer:128 - span.receiver.classes = ; loaded no span receivers
2019-04-12 10:52:36 DEBUG Tracer:106 - sampler.classes = ; loaded no samplers
2019-04-12 10:52:36 DEBUG Tracer:128 - span.receiver.classes = ; loaded no span receivers
2019-04-12 14:15:00 DEBUG Tracer:106 - sampler.classes = ; loaded no samplers
2019-04-12 14:15:00 DEBUG Tracer:128 - span.receiver.classes = ; loaded no span receivers
2019-04-12 14:19:32 DEBUG Tracer:106 - sampler.classes = ; loaded no samplers
2019-04-12 14:19:32 DEBUG Tracer:128 - span.receiver.classes = ; loaded no span receivers
2019-04-12 14:22:03 DEBUG Tracer:106 - sampler.classes = ; loaded no samplers
2019-04-12 14:22:03 DEBUG Tracer:128 - span.receiver.classes = ; loaded no span receivers
2019-04-12 14:29:04 DEBUG Tracer:106 - sampler.classes = ; loaded no samplers
2019-04-12 14:29:04 DEBUG Tracer:128 - span.receiver.classes = ; loaded no span receivers
2019-04-12 14:36:43 DEBUG Tracer:106 - sampler.classes = ; loaded no samplers
2019-04-12 14:36:43 DEBUG Tracer:128 - span.receiver.classes = ; loaded no span receivers
2019-04-12 14:37:46 DEBUG Tracer:106 - sampler.classes = ; loaded no samplers
2019-04-12 14:37:46 DEBUG Tracer:128 - span.receiver.classes = ; loaded no span receivers
2019-04-12 14:53:42 DEBUG Tracer:106 - sampler.classes = ; loaded no samplers
2019-04-12 14:53:43 DEBUG Tracer:128 - span.receiver.classes = ; loaded no span receivers
2019-05-21 16:19:54 DEBUG Tracer:106 - sampler.classes = ; loaded no samplers
2019-05-21 16:19:54 DEBUG Tracer:128 - span.receiver.classes = ; loaded no span receivers
2019-05-21 16:29:55 DEBUG Tracer:106 - sampler.classes = ; loaded no samplers
2019-05-21 16:29:56 DEBUG Tracer:128 - span.receiver.classes = ; loaded no span receivers
2019-05-21 17:14:00 DEBUG Tracer:106 - sampler.classes = ; loaded no samplers
2019-05-21 17:14:00 DEBUG Tracer:128 - span.receiver.classes = ; loaded no span receivers
2019-05-22 09:41:50 DEBUG Tracer:106 - sampler.classes = ; loaded no samplers
2019-05-22 09:41:51 DEBUG Tracer:128 - span.receiver.classes = ; loaded no span receivers
2019-05-22 09:53:36 DEBUG Tracer:106 - sampler.classes = ; loaded no samplers
2019-05-22 09:53:37 DEBUG Tracer:128 - span.receiver.classes = ; loaded no span receivers
2019-05-22 09:55:28 DEBUG Tracer:106 - sampler.classes = ; loaded no samplers
2019-05-22 09:55:28 DEBUG Tracer:128 - span.receiver.classes = ; loaded no span receivers
2019-05-22 09:59:26 DEBUG Tracer:106 - sampler.classes = ; loaded no samplers
2019-05-22 09:59:27 DEBUG Tracer:128 - span.receiver.classes = ; loaded no span receivers
2019-05-22 10:08:20 DEBUG Tracer:106 - sampler.classes = ; loaded no samplers
2019-05-22 10:08:21 DEBUG Tracer:128 - span.receiver.classes = ; loaded no span receivers
2019-05-22 10:09:57 DEBUG Tracer:106 - sampler.classes = ; loaded no samplers
2019-05-22 10:09:57 DEBUG Tracer:128 - span.receiver.classes = ; loaded no span receivers
2019-05-22 10:13:27 DEBUG Tracer:106 - sampler.classes = ; loaded no samplers
2019-05-22 10:13:27 DEBUG Tracer:128 - span.receiver.classes = ; loaded no span receivers
2019-05-22 14:47:27 DEBUG Tracer:106 - sampler.classes = ; loaded no samplers
2019-05-22 14:47:27 DEBUG Tracer:128 - span.receiver.classes = ; loaded no span receivers
2019-05-22 14:48:58 DEBUG Tracer:106 - sampler.classes = ; loaded no samplers
2019-05-22 14:48:58 DEBUG Tracer:128 - span.receiver.classes = ; loaded no span receivers
2019-05-23 09:40:09 DEBUG Tracer:106 - sampler.classes = ; loaded no samplers
2019-05-23 09:40:10 DEBUG Tracer:128 - span.receiver.classes = ; loaded no span receivers
2019-05-23 09:52:20 DEBUG Tracer:106 - sampler.classes = ; loaded no samplers
2019-05-23 09:52:21 DEBUG Tracer:128 - span.receiver.classes = ; loaded no span receivers
2019-05-23 10:05:45 DEBUG Tracer:106 - sampler.classes = ; loaded no samplers
2019-05-23 10:05:46 DEBUG Tracer:128 - span.receiver.classes = ; loaded no span receivers
